Date,Race,Gpx,Location,Latitude,Longitude,Type,Distance,D+,Time,Notes,Jpg,Link,Post
14.10.2023,XTerra O-See Ultra Trail 2023,xterra_osee_2023.gpx,Oybin (Germany),50.84124745,14.74485719,Trail Run,50,2120,8:09:56,,xterra_osee_2023.jpg,https://en.o-see-ultratrail.de/,https://run.alexdjulin.ovh/2023/10/xterra-o-see-ultra-trail-2023.html
27.09.2023,B2Run Berlin 2023,b2run_2023.gpx,Berlin (Germany),52.51468647,13.23955398,City Run,5.5,,0:36:19,Company run with Gui and Sim,b2run_2023.jpg,https://www.b2run.de/run/de/de/berlin/index.html,https://run.alexdjulin.ovh/2023/09/b2run-berlin-2023.html
29.07.2023,6D-Marathon 2023,6dmarathon_2023.gpx,"Aime La Plagne, Savoie (France)",45.55591205,6.651444485,Trail Run,43,2100,7:26:45,,6dmarathon_2023.jpg,https://www.la6000d.com/la-6d-marathon/,https://run.alexdjulin.ovh/2023/07/la-6d-marathon-2023.html
17.06.2023,14. Sielmanns Heidelauf Halbmarathon,sielmanns_heidelauf_2023.gpx,Döberitzer Heide (Germany),52.53080136,13.06081844,Trail Run,21.1,176,1:58:08,,sielmanns_heidelauf_2023.jpg,https://sportverein-dallgow.de/heidelauf/,https://run.alexdjulin.ovh/2023/06/14-sielmanns-heidelauf-halbmarathon-2023.html
07.05.2023,10. Wings For Life World Run,wflwr_2023.gpx,Berlin (Germany),52.6012987,13.47260407,Virtual Run,19,,1:47:08,Charity event,wflwr_2023.jpg,https://www.wingsforlifeworldrun.com/en,
25.03.2023,7. Schweriner Seentrail,schweriner_seentrail_2023.gpx,Schwerin (Germany),53.62510255,11.4178216,Trail Run,61,,8:44:21,64km overall,schweriner_seentrail_2023.jpg,https://www.schweriner-seen-trail.com/,https://run.alexdjulin.ovh/2023/03/7-schweriner-seentrail.html
29.10.2022,2. Spreewald-Marsch Querung,spreewald_marsch_2022.gpx,"Burg, Spreewald (Germany)",51.84907703,14.15843954,Trail Run,50,,5:42:27,First 50k,spreewald_marsch_2022.jpg,https://spreewaldmarathon.de/wpswm/spreewald-marsch-querung/,https://run.alexdjulin.ovh/2022/10/2-spreewald-marsch-queerung.html
10.09.2022,36. Marathon du Médoc,marathon_du_medoc_2022.gpx,Pauillac (France),45.201115,-0.746379,City run,42.2,,5:35:29,With Donato,marathon_du_medoc_2022.jpg,https://www.marathondumedoc.com/,https://run.alexdjulin.ovh/2022/10/marathon-des-chateaux-du-medoc.html
03.04.2022,Generali Berlin Half Marathon,,Berlin (Germany),52.51603877,13.37321705,City Run,21.1,,2:24:41,With Andy,berlin_half_2022.jpg,https://www.generali-berliner-halbmarathon.de/,https://run.alexdjulin.ovh/2022/04/generali-berlin-half-marathon-2022.html
09.05.2021,8. Wings For Life World Run,wflwr_2021.gpx,Berlin (Germany),52.60153977,13.49018806,Virtual Run,15,,1:29:56,Charity event,wflwr_2021.jpg,https://www.wingsforlifeworldrun.com/en,
11.04.2021,Generali Berlin Virtual Half Marathon,berlin_half_2021.gpx,Berlin (Germany),52.62244015,13.46005055,Virtual Run,21.1,,2:44:52,,berlin_half_2021.jpg,https://www.generali-berliner-halbmarathon.de/,
19.10.2019,Rügenbrücken Marathon,ruegen_marathon_2019.gpx,Ruegen Island (Germany),54.31498039,13.12452268,Trail Run,42.2,,4:42:12,for Trek-and-Run,ruegen_marathon_2019.jpg,https://www.ruegenmarathon.de/,http://run.alexdjulin.ovh/2019/10/ruegenbruecken-marathon.html
05.05.2019,6. Wings For Life World Run,wflwr_2019.gpx,Berlin (Germany),52.53508521,13.58103084,Virtual Run,10.2,,1:12:06,Charity event,wflwr_2019.jpg,https://www.wingsforlifeworldrun.com/en,
07.04.2019,36. Vienna City Marathon,vienna_marathon_2019.gpx,Vienna (Austria),48.21048829,16.36053638,City run,42.2,,4:47:37,for Trek-and-Run,vienna_marathon_2019.jpg,https://www.vienna-marathon.com/,http://run.alexdjulin.ovh/2019/04/vienna-city-marathon-2019.html
03.11.2018,Krummenseelauf,krummensee_2018.gpx,"Koenigs Wusterhausen, Brandenburg (Germany)",52.26493783,13.60608827,Trail run,15,,1:17:20,for Trek-and-Run,krummensee_2018.jpg,https://www.laufen-in-kw.de/,https://run.alexdjulin.ovh/2018/11/krummenseelauf-2018.html
13.10.2018,Broken Marathon,broken_marathon_2018.gpx,"Harz, Wernigerode (Germany)",51.79931642,10.61607677,Mountain trail,42.2,1147,5:59:37,for Trek-and-Run,broken_marathon_2018.jpg,http://www.harz-gebirgslauf.de/,http://run.alexdjulin.ovh/2018/10/harz-gebirgslauf-broken-marathon-2018.html
06.05.2018,5. Wings For Life World Run,wflwr_2018.gpx,"Berlin, Hellersdorf (Germany)",52.53622042,13.60716942,Open Run,17.5,,1:37:00,Virtual app run,wflwr_2018.jpg,https://www.wingsforlifeworldrun.com/en,http://run.alexdjulin.ovh/2018/05/wings-for-life-app-run-2018.html
17.03.2018,Eco-Trail de Paris,ecotrail_paris_2018.gpx,Paris (France),48.85908301,2.293279668,Ultra-trail,45,900,6:16:48,for Trek-and-Run,ecotrail_paris_2018.jpg,https://paris.ecotrail.com/,https://run.alexdjulin.ovh/2018/03/eco-trail-de-paris-2018.html
25.11.2017,Grünewald Half-marathon,gruenewald_half_2017.gpx,"Berlin, Gruenewald (Germany)",52.47838328,13.1972034,City run,21.1,,1:58:48,Rainy,gruenewald_half_2017.jpg,http://www.schorfheide-lauf.de/,https://run.alexdjulin.ovh/2017/11/grunewald-half-marathon-2017.html
10.09.2017,Schorfheide-Lauf,schorfheide_marathon_2017.gpx,"Altkuenkendorf, Brandenburg (Germany)",53.0079878,13.87610118,Trail run,42,,5:01:15,,schorfheide_marathon_2017.jpg,http://www.schorfheide-lauf.de/,http://run.alexdjulin.ovh/2017/09/schorfheide-lauf-marathon-42km.html
11.06.2017,14. Potsdam Schlösserlauf,,Potsdam (Germany),52.37834322,13.01716315,City/trail run,21.1,,2:31:06,With Andy,potsdam_half_2017.jpg,http://www.potsdam-marathon.de/,http://run.alexdjulin.ovh/2017/06/potsdam-half-marathon-2017.html
25.09.2016,43. Berlin Marathon,,Berlin (Germany),52.51504606,13.35808951,City run,42.2,,Unfinished,Ran 24km,berlin_marathon_2016.jpg,http://www.bmw-berlin-marathon.com/en/,http://run.alexdjulin.ovh/2017/01/berlin-marathon-2016.html
03.04.2016,36. Berlin Halfmarathon,,Berlin (Germany),52.50731062,13.39036477,City run,21.1,,2:32:34,With Andy,berlin_half_2016.jpg,http://www.berliner-halbmarathon.de/en/,
07.06.2015,12. Potsdam Schlösserlauf,potsdam_half_2015.gpx,Potsdam (Germany),52.39960417,13.04791583,City/trail run,21.1,,1:44:58,PR,potsdam_half_2015.jpg,http://www.potsdam-marathon.de/,
16.11.2014,22. Berliner Marathon-Staffel,airportrun_2014.gpx,"Berlin, Tempelhof Airport (Germany)",52.47551843,13.40195737,Relay race,10,,0:48:29,"Team run with Andy, Karl and Flo",airportrun_2014.jpg,http://www.airfield-run.de/,
28.09.2014,41. Berlin Marathon,berlin_marathon_2014.gpx,"Berlin, Mitte (Germany)",52.51625499,13.37757535,Street run,42.2,,4:17:35,"1st marathon, PR",berlin_marathon_2014.jpg,https://www.bmw-berlin-marathon.com/,
26.07.2014,23. Berlin City-Nacht,nightrun_2014.gpx,"Berlin, Kudamm (Germany)",52.50485712,13.33520219,City night run,10,,1:10:43,Pacer for Andy,nightrun_2014.jpg,http://www.berliner-citynacht.de/en/,
12.04.2014,1st Urbanian Run Berlin,,"Berlin, Olympia Stadium (Germany)",52.51471667,13.23903736,Obstacle race,10,,0:58:00,Team run with Karl and Daniel,urbanianrun_2014.jpg,http://www.urbanianrun.com/,
30.03.2014,34. Berlin Halfmarathon,berlin_half_2014.gpx,"Berlin, Mitte (Germany)",52.52167473,13.41729075,City run,21.1,,1:50:21,1st half,berlin_half_2014.jpg,http://www.berliner-halbmarathon.de/en/,
17.11.2013,21. Berliner Marathon-Staffel,,"Berlin, Tempelhof Airport (Germany)",52.47110137,13.40488222,Relay race,12,,0:57:26,Team run with Karl and Flo,airportrun_2013.jpg,http://www.airfield-run.de/,